,address,amount,poolId,veJoeStaked,factor,pairAddress,balance,pairName,totalSupply,reserveUSD
0,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,64481901973675467,0,9313507718223893859865603,774953348091085413729,0xf4003f4efbe8691b60249e6afbd307abe7758adb,2514429563222835150,WAVAX-USDC,2.737357968031808104,28428986.41701513764243220311040179
1,0xe7462905b79370389e8180e300f58f63d35b725f,117994367936998176,0,49023778427783078443878433,2405104935230417450934,0xf4003f4efbe8691b60249e6afbd307abe7758adb,2514429563222835150,WAVAX-USDC,2.737357968031808104,28428986.41701513764243220311040179
2,0xf30e775240d4137daea097109fea882c406d61cc,28641265042357,0,0,0,0xf4003f4efbe8691b60249e6afbd307abe7758adb,2514429563222835150,WAVAX-USDC,2.737357968031808104,28428986.41701513764243220311040179
3,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,957999875392150518,0,447702179683746273639810977,20741525046197377724279,0xf4003f4efbe8691b60249e6afbd307abe7758adb,2514429563222835150,WAVAX-USDC,2.737357968031808104,28428986.41701513764243220311040179
4,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,21948535861321035,0,28641495616953830768436556,795229908792074194037,0xf4003f4efbe8691b60249e6afbd307abe7758adb,2514429563222835150,WAVAX-USDC,2.737357968031808104,28428986.41701513764243220311040179
5,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,2847634474303668279541,10,7831142909357519965674447,161701061893239502868588,0x6f3a0c89f611ef5dc9d96650324ac633d02265d3,31736233052350767781853,LINK.e-WAVAX,39177.150504336200109964,881298.3658006506373624246145240197
6,0xe7462905b79370389e8180e300f58f63d35b725f,7816472293931652427226,10,37082182125544687610555008,585202300611853095107474,0x6f3a0c89f611ef5dc9d96650324ac633d02265d3,31736233052350767781853,LINK.e-WAVAX,39177.150504336200109964,881298.3658006506373624246145240197
7,0xf30e775240d4137daea097109fea882c406d61cc,2664225525647664371,10,0,0,0x6f3a0c89f611ef5dc9d96650324ac633d02265d3,31736233052350767781853,LINK.e-WAVAX,39177.150504336200109964,881298.3658006506373624246145240197
8,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,264611302727228535080,10,333739132400295649382287578,333691301999312903823914,0x6f3a0c89f611ef5dc9d96650324ac633d02265d3,31736233052350767781853,LINK.e-WAVAX,39177.150504336200109964,881298.3658006506373624246145240197
9,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,1397109423868199422,10,13716270561752102788670095,5802052503601396567834,0x6f3a0c89f611ef5dc9d96650324ac633d02265d3,31736233052350767781853,LINK.e-WAVAX,39177.150504336200109964,881298.3658006506373624246145240197
10,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,3363209066576984067947,1,9313507718223893859865603,176983822988332238187956,0xfe15c2695f1f920da45c30aae47d11de51007af9,43729941243815976003778,WETH.e-WAVAX,48475.348978187897660034,14964298.13639299882402533674711795
11,0xe7462905b79370389e8180e300f58f63d35b725f,2800219619593202453195,1,49120905144769280325568618,370876424592558343746431,0xfe15c2695f1f920da45c30aae47d11de51007af9,43729941243815976003778,WETH.e-WAVAX,48475.348978187897660034,14964298.13639299882402533674711795
12,0xf30e775240d4137daea097109fea882c406d61cc,1246248068156040625,1,0,0,0xfe15c2695f1f920da45c30aae47d11de51007af9,43729941243815976003778,WETH.e-WAVAX,48475.348978187897660034,14964298.13639299882402533674711795
13,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,5613247600658139890357,1,444789446420056320657851611,1587069440889786016237948,0xfe15c2695f1f920da45c30aae47d11de51007af9,43729941243815976003778,WETH.e-WAVAX,48475.348978187897660034,14964298.13639299882402533674711795
14,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,712389131087740579074,1,28406916636654488699730900,145782268313273377935693,0xfe15c2695f1f920da45c30aae47d11de51007af9,43729941243815976003778,WETH.e-WAVAX,48475.348978187897660034,14964298.13639299882402533674711795
15,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,322723617655255665739,11,7734754519333343966738091,54824163503744957207929,0xeb8eb6300c53c3addbb7382ff6c6fbc4165b0742,1710560511439834799761,BNB-WAVAX,6138.602232816074969537,830108.1141681183766867730864398459
16,0xe7462905b79370389e8180e300f58f63d35b725f,25434216457837289989,11,35697083872835434694945108,33817941231508486456382,0xeb8eb6300c53c3addbb7382ff6c6fbc4165b0742,1710560511439834799761,BNB-WAVAX,6138.602232816074969537,830108.1141681183766867730864398459
17,0xf30e775240d4137daea097109fea882c406d61cc,268500963773780443,11,0,0,0xeb8eb6300c53c3addbb7382ff6c6fbc4165b0742,1710560511439834799761,BNB-WAVAX,6138.602232816074969537,830108.1141681183766867730864398459
18,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,42941811282961972520,11,308981198453339528616964217,127268836865670730930128,0xeb8eb6300c53c3addbb7382ff6c6fbc4165b0742,1710560511439834799761,BNB-WAVAX,6138.602232816074969537,830108.1141681183766867730864398459
19,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,50452753343292327,12,9313507718223893859865603,685486766953527303999,0xbb4646a764358ee93c2a9c4a147d5aded527ab73,811764988293186267,USDt-WAVAX,0.812781405610233974,7820697.523177068155054160683473476
20,0xe7462905b79370389e8180e300f58f63d35b725f,26677514049754390,12,49185236401840315537763595,1145486724126729492190,0xbb4646a764358ee93c2a9c4a147d5aded527ab73,811764988293186267,USDt-WAVAX,0.812781405610233974,7820697.523177068155054160683473476
21,0xf30e775240d4137daea097109fea882c406d61cc,694453015895,12,0,0,0xbb4646a764358ee93c2a9c4a147d5aded527ab73,811764988293186267,USDt-WAVAX,0.812781405610233974,7820697.523177068155054160683473476
22,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,399722393751450250,12,450268695597839386025084150,13415754948407169265686,0xbb4646a764358ee93c2a9c4a147d5aded527ab73,811764988293186267,USDt-WAVAX,0.812781405610233974,7820697.523177068155054160683473476
23,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,19295608330187597,12,28812427937477393801649852,745622776290611071666,0xbb4646a764358ee93c2a9c4a147d5aded527ab73,811764988293186267,USDt-WAVAX,0.812781405610233974,7820697.523177068155054160683473476
24,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,7303691875861682,2,6096389955768714329944629,260812175055856863219,0xed8cbd9f0ce3c6986b22002f03c6475ceb7a6256,494997933968936836,WAVAX-USDT.e,0.561007190959870859,6418244.245247572707432029849546171
25,0xe7462905b79370389e8180e300f58f63d35b725f,2670960998188835,2,25265591314758617873308308,345049622972796984982,0xed8cbd9f0ce3c6986b22002f03c6475ceb7a6256,494997933968936836,WAVAX-USDT.e,0.561007190959870859,6418244.245247572707432029849546171
26,0xf30e775240d4137daea097109fea882c406d61cc,33647735943,2,1470027282243235054097082,0,0xed8cbd9f0ce3c6986b22002f03c6475ceb7a6256,494997933968936836,WAVAX-USDT.e,0.561007190959870859,6418244.245247572707432029849546171
27,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,116784277981077,2,256383832129715432350907672,212185528724266620828,0xed8cbd9f0ce3c6986b22002f03c6475ceb7a6256,494997933968936836,WAVAX-USDT.e,0.561007190959870859,6418244.245247572707432029849546171
28,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,16193892546860,2,11124734061321993154770334,20411875393668518870,0xed8cbd9f0ce3c6986b22002f03c6475ceb7a6256,494997933968936836,WAVAX-USDT.e,0.561007190959870859,6418244.245247572707432029849546171
29,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,15190217210002659,3,3668364355462453129420503,376130569386293285578,0xa389f9430876455c36478deea9769b7ca4e3ddb1,379433307004072358,USDC.e-WAVAX,0.679566648189830572,7546819.676258036160286842851293316
30,0xe7462905b79370389e8180e300f58f63d35b725f,446347427230851,3,14867706300525534188687807,143722390267594672653,0xa389f9430876455c36478deea9769b7ca4e3ddb1,379433307004072358,USDC.e-WAVAX,0.679566648189830572,7546819.676258036160286842851293316
31,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,829857379727890,3,70837055317258792705635930,398409783440612636369,0xa389f9430876455c36478deea9769b7ca4e3ddb1,379433307004072358,USDC.e-WAVAX,0.679566648189830572,7546819.676258036160286842851293316
32,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,7256884752740400215738,4,7349265973475807197773680,259975099105489353013858,0x781655d802670bba3c89aebaaea59d3182fd755d,54808948469158352571542,MIM-WAVAX,128807.721506916798669096,1639621.976835273574545596542341698
33,0xe7462905b79370389e8180e300f58f63d35b725f,468955940816948787596,4,29334423807209002444135906,147137167955130151826223,0x781655d802670bba3c89aebaaea59d3182fd755d,54808948469158352571542,MIM-WAVAX,128807.721506916798669096,1639621.976835273574545596542341698
34,0xf30e775240d4137daea097109fea882c406d61cc,11439532026470220046,4,1760639419095280412144314,0,0x781655d802670bba3c89aebaaea59d3182fd755d,54808948469158352571542,MIM-WAVAX,128807.721506916798669096,1639621.976835273574545596542341698
35,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,1380235573748020641980,4,254303380663159777706019717,789345666548342510803015,0x781655d802670bba3c89aebaaea59d3182fd755d,54808948469158352571542,MIM-WAVAX,128807.721506916798669096,1639621.976835273574545596542341698
36,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,55518587952914141694,4,13714348771647969204102445,33308904141033769374826,0x781655d802670bba3c89aebaaea59d3182fd755d,54808948469158352571542,MIM-WAVAX,128807.721506916798669096,1639621.976835273574545596542341698
37,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,1975480199414823,5,8668745254842714065879519,135641623716499468115,0xd5a37dc5c9a396a03dd1136fc76a1a02b1c88ffa,13250233559224094,WBTC.e-WAVAX,0.014214139736952779,1867516.197591279314163401056526241
38,0xe7462905b79370389e8180e300f58f63d35b725f,2116352955491818,5,46772681561326906224229645,314622794562936679806,0xd5a37dc5c9a396a03dd1136fc76a1a02b1c88ffa,13250233559224094,WBTC.e-WAVAX,0.014214139736952779,1867516.197591279314163401056526241
39,0xf30e775240d4137daea097109fea882c406d61cc,221931419,5,0,0,0xd5a37dc5c9a396a03dd1136fc76a1a02b1c88ffa,13250233559224094,WBTC.e-WAVAX,0.014214139736952779,1867516.197591279314163401056526241
40,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,675719717405400,5,400404518793470946828433138,552342172338308708052,0xd5a37dc5c9a396a03dd1136fc76a1a02b1c88ffa,13250233559224094,WBTC.e-WAVAX,0.014214139736952779,1867516.197591279314163401056526241
41,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,9402656946469,5,23405033260229845416993898,16459446396855493853,0xd5a37dc5c9a396a03dd1136fc76a1a02b1c88ffa,13250233559224094,WBTC.e-WAVAX,0.014214139736952779,1867516.197591279314163401056526241
42,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,35136994399010992373453,6,9313507718223893859865603,572056525642683850974361,0x454e67025631c065d3cfad6d71e6892f74487a15,1593829557015015241975018,JOE-WAVAX,1730752.748011841634998556,9209586.829012455831517787851802802
43,0xe7462905b79370389e8180e300f58f63d35b725f,60440571125740727611950,6,49113884576416366616061436,1722925196867906367815040,0x454e67025631c065d3cfad6d71e6892f74487a15,1593829557015015241975018,JOE-WAVAX,1730752.748011841634998556,9209586.829012455831517787851802802
44,0xf30e775240d4137daea097109fea882c406d61cc,782088852386095166,6,0,0,0x454e67025631c065d3cfad6d71e6892f74487a15,1593829557015015241975018,JOE-WAVAX,1730752.748011841634998556,9209586.829012455831517787851802802
45,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,351031911400667350115970,6,451162261618855322537354987,12584607703377754688632631,0x454e67025631c065d3cfad6d71e6892f74487a15,1593829557015015241975018,JOE-WAVAX,1730752.748011841634998556,9209586.829012455831517787851802802
46,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,27301285832002567975881,6,29832669852939818994645495,902480053401113133678820,0x454e67025631c065d3cfad6d71e6892f74487a15,1593829557015015241975018,JOE-WAVAX,1730752.748011841634998556,9209586.829012455831517787851802802
47,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,16955901084409211,7,9313507718223893859865603,397390130248709219575,0x3bc40d4307cd946157447cd55d70ee7495ba6140,1302516300758940142,JOE-USDC,1.31101605347511191,1448894.773212610663544402669395504
48,0xe7462905b79370389e8180e300f58f63d35b725f,47418577692104621,7,47595142101688699574422699,1502296223624250882890,0x3bc40d4307cd946157447cd55d70ee7495ba6140,1302516300758940142,JOE-USDC,1.31101605347511191,1448894.773212610663544402669395504
49,0xf30e775240d4137daea097109fea882c406d61cc,96431534789198,7,0,0,0x3bc40d4307cd946157447cd55d70ee7495ba6140,1302516300758940142,JOE-USDC,1.31101605347511191,1448894.773212610663544402669395504
50,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,199135765353383640,7,452905470882840697106220408,9496824604939752780285,0x3bc40d4307cd946157447cd55d70ee7495ba6140,1302516300758940142,JOE-USDC,1.31101605347511191,1448894.773212610663544402669395504
51,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,32772745315638468,7,26695966611820788466106227,966256328239907486574,0x3bc40d4307cd946157447cd55d70ee7495ba6140,1302516300758940142,JOE-USDC,1.31101605347511191,1448894.773212610663544402669395504
52,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,2171786240383,8,9313507718223893859865603,4497437927547141075,0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,8219943527310,USDC-USDC.e,0.000010162719111276,21838499.33086661114327477393830715
53,0xe7462905b79370389e8180e300f58f63d35b725f,519500052059,8,48301805947780306872893274,5050130169032403325,0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,8219943527310,USDC-USDC.e,0.000010162719111276,21838499.33086661114327477393830715
54,0xf30e775240d4137daea097109fea882c406d61cc,18829,8,0,0,0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,8219943527310,USDC-USDC.e,0.000010162719111276,21838499.33086661114327477393830715
55,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,1450888296010,8,450275269074825936814369032,25585496473916572775,0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,8219943527310,USDC-USDC.e,0.000010162719111276,21838499.33086661114327477393830715
56,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,31572992364,8,28812427937477393801649852,953779097725607543,0x2a8a315e82f85d1f0658c5d66a452bbdd9356783,8219943527310,USDC-USDC.e,0.000010162719111276,21838499.33086661114327477393830715
57,0x1f2a8034f444dc55f963fb5925a9b6eb744eee2c,87300097388,9,9313507718223893859865603,901704015087454069,0x74b651eff97871ea99fcc14423e611d85eb0ea93,552093665334,USDt-USDT.e,0.000000592480138222,1227054.69242252096328468720854934
58,0xe7462905b79370389e8180e300f58f63d35b725f,120729644380,9,48680969767463020587326075,2424301171079893235,0x74b651eff97871ea99fcc14423e611d85eb0ea93,552093665334,USDt-USDT.e,0.000000592480138222,1227054.69242252096328468720854934
59,0xf30e775240d4137daea097109fea882c406d61cc,7056627,9,0,0,0x74b651eff97871ea99fcc14423e611d85eb0ea93,552093665334,USDt-USDT.e,0.000000592480138222,1227054.69242252096328468720854934
60,0x0e25c07748f727d6cccd7d2711fd7bd13d13422d,101542826790,9,451333726924407105138376863,6769763840605536965,0x74b651eff97871ea99fcc14423e611d85eb0ea93,552093665334,USDt-USDT.e,0.000000592480138222,1227054.69242252096328468720854934
61,0x1ab6b2f60a7e8da9d521cf8f90b2a5b5d314b3a6,4599143924,9,28812427937477393801649852,364022668091338794,0x74b651eff97871ea99fcc14423e611d85eb0ea93,552093665334,USDt-USDT.e,0.000000592480138222,1227054.69242252096328468720854934
