"Date","Circulating Supply"
"2022-04-19","217346789"
"2022-04-18","217142759"
"2022-04-17","216891846"
"2022-04-16","216684862"
"2022-04-15","216461225"
"2022-04-14","214698016"
"2022-04-13","214482598"
"2022-04-12","212462545"
"2022-04-11","212247070"
"2022-04-10","212025487.99999997"
"2022-04-09","211813903.00000003"
"2022-04-08","211459673"
"2022-04-07","210728356"
"2022-04-06","210249110.00000003"
"2022-04-05","209856510"
"2022-04-04","209179018"
"2022-04-03","208942914"
"2022-04-02","208711361"
"2022-04-01","209419557"
"2022-03-31","198070442"
"2022-03-30","196440677"
"2022-03-29","195422243"
"2022-03-28","194312115"
"2022-03-27","194082585"
"2022-03-26","193843873"
"2022-03-25","190995249"
"2022-03-24","189591347"
"2022-03-23","186762665"
"2022-03-22","185786802"
"2022-03-21","184428655"